Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2025-01-24 14:30:05.015,US29444U7000,EQIX,"Equinix",,EOF27051372425,0.0193310000,950.00,USD,1.24168018,,"GBP",14.81,"GBP",0.02,"GBP"
Market buy,2025-01-24 14:30:05.015,US02156V1098,OKLO,"Oklo",,EOF27051372419,1.2158290000,39.49,USD,1.24193189,,"GBP",38.72,"GBP",0.06,"GBP"
Market buy,2025-01-24 14:30:05.016,US46982L1089,J,"Jacobs Solutions",,EOF27051378009,0.0359009000,142.30,USD,1.24299223,,"GBP",4.12,"GBP",0.01,"GBP"
Market buy,2025-01-24 14:30:05.016,US68389X1054,ORCL,"Oracle",,EOF27051378015,0.0752007000,188.80,USD,1.24216029,,"GBP",11.45,"GBP",0.02,"GBP"
Market buy,2025-01-24 14:30:05.016,US92537N1081,VRT,"Vertiv",,EOF27051378012,0.0404515000,154.80,USD,1.24243892,,"GBP",5.05,"GBP",0.01,"GBP"
Market buy,2025-01-24 14:30:05.016,US3434121022,FLR,"Fluor",,EOF27051377985,0.0910540000,55.29,USD,1.24305571,,"GBP",4.06,"GBP",0.01,"GBP"
Market buy,2025-01-24 14:30:07.589,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",,EOF27051380215,0.1123584000,226.46,USD,1.24180982,,"GBP",20.52,"GBP",0.03,"GBP"
Market buy,2025-01-24 14:30:20.995,US42824C1099,HPE,"Hewlett Packard Enterprise",,EOF27051385214,0.6367910000,24.50,USD,1.24214804,,"GBP",12.58,"GBP",0.02,"GBP"
Market sell,2025-01-24 14:32:37.463,US02156V1098,OKLO,"Oklo",,EOF27051388874,0.0411540000,40.52,USD,1.24444782,0.06,"GBP",1.34,"GBP",,
Market sell,2025-01-24 14:32:37.886,US0079031078,AMD,"Advanced Micro Devices",,EOF27051388879,0.0100233000,124.16,USD,1.24449292,0.00,"GBP",1.00,"GBP",,
Market sell,2025-01-24 14:32:38.882,US83404D1090,SFTBY,"SoftBank",,EOF27051388893,0.4349880000,34.01,USD,1.24318839,-0.08,"GBP",11.88,"GBP",0.02,"GBP"
Market sell,2025-01-24 17:26:31.701,US17275R1023,CSCO,"Cisco Systems",,EOF27055800115,0.0343760000,62.26,USD,1.25160804,0.00,"GBP",1.71,"GBP",,
Market sell,2025-01-24 17:26:31.825,US4581401001,INTC,"Intel",,EOF27055800119,0.0594010000,21.07,USD,1.25157907,-0.03,"GBP",1.00,"GBP",,
Market sell,2025-01-24 17:26:31.825,US0079031078,AMD,"Advanced Micro Devices",,EOF27055800123,0.0127146000,124.03,USD,1.25158082,-0.01,"GBP",1.26,"GBP",,
Market sell,2025-01-24 17:26:31.911,US1491231015,CAT,"Caterpillar",,EOF27055800129,0.0030599000,409.03,USD,1.25159089,0.00,"GBP",1.00,"GBP",,
Market sell,2025-01-24 17:26:31.964,US67066G1040,NVDA,"Nvidia",,EOF27055800133,0.0086538000,144.63,USD,1.25159909,-0.03,"GBP",1.00,"GBP",,
Market sell,2025-01-24 17:26:31.964,US0404132054,ANET,"Arista Networks",,EOF27055800136,0.0115886000,130.68,USD,1.25156880,-0.01,"GBP",1.21,"GBP",,
Market sell,2025-01-24 17:26:32.094,IE00BY7QL619,JCI,"Johnson Controls International",,EOF27055800144,0.0152670000,81.98,USD,1.25158866,-0.02,"GBP",1.00,"GBP",,
Market sell,2025-01-24 17:26:32.243,US14448C1045,CARR,"Carrier Global",,EOF27055800148,0.0177980000,70.32,USD,1.25155536,-0.01,"GBP",1.00,"GBP",,
Market sell,2025-01-24 17:26:32.622,US0420682058,ARM,"ARM",,EOF27055800154,0.0085080000,166.23,USD,1.25157950,0.00,"GBP",1.13,"GBP",,
Market sell,2025-01-24 17:26:32.749,US5949181045,MSFT,"Microsoft",,EOF27055800159,0.0028101000,445.39,USD,1.25159043,0.00,"GBP",1.00,"GBP",,
